        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , GPU Power [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-08-22 15:54:38 ,          99.8   ,           2394.1   ,               44.0   ,          0   ,                        815   ,         0.0   ,             -   ,               46.0   ,                  9537   ,
2023-08-22 15:54:39 ,          99.8   ,           2394.1   ,               44.0   ,          3   ,                        815   ,         0.0   ,             -   ,               49.0   ,                  9537   ,
2023-08-22 15:54:40 ,          99.8   ,           2394.1   ,               46.0   ,          5   ,                        815   ,         0.0   ,             -   ,               44.0   ,                  9537   ,
2023-08-22 15:54:41 ,          99.8   ,           2394.1   ,               46.0   ,          3   ,                        815   ,         0.0   ,             -   ,               46.0   ,                  9528   ,
        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-08-22 15:55:01 ,        1410.0   ,           1750.2   ,               46.3   ,        57.7   ,           1186   ,          2   ,                        1   ,                   0   ,                    0   ,               30.6   ,                  11.5   ,               13.7   ,                 19.2   ,              28.8   ,             25.1   ,               20.5   ,              16   ,        0.7620   ,               45.0   ,                  9667   ,
2023-08-22 15:55:02 ,        1410.0   ,           1750.2   ,               46.3   ,        57.8   ,           1158   ,          1   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               46.0   ,                  9678   ,
2023-08-22 15:55:03 ,        1410.0   ,           1750.2   ,               46.3   ,        57.8   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.8   ,                  10.9   ,               13.4   ,                 18.9   ,              29.0   ,             24.3   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9661   ,
2023-08-22 15:55:04 ,        1410.0   ,           1750.2   ,               46.3   ,        57.6   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.0   ,               13.5   ,                 19.0   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9662   ,
2023-08-22 15:55:05 ,        1410.0   ,           1750.2   ,               46.3   ,        57.6   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               46.0   ,                  9661   ,
2023-08-22 15:55:06 ,        1410.0   ,           1750.2   ,               46.3   ,        57.7   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9639   ,
2023-08-22 15:55:07 ,        1410.0   ,           1750.2   ,               46.2   ,        57.6   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.8   ,                  10.9   ,               13.4   ,                 18.9   ,              29.0   ,             24.3   ,               20.5   ,              16   ,        0.7620   ,               43.0   ,                  9552   ,
2023-08-22 15:55:08 ,        1410.0   ,           1750.2   ,               46.2   ,        57.6   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.0   ,               13.5   ,                 19.0   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9454   ,
2023-08-22 15:55:09 ,        1410.0   ,           1750.2   ,               46.2   ,        57.7   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               30.0   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.5   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9454   ,
2023-08-22 15:55:10 ,        1410.0   ,           1750.2   ,               46.2   ,        57.8   ,           1158   ,          0   ,                        0   ,                   0   ,                    0   ,               29.9   ,                  11.0   ,               13.4   ,                 18.9   ,              29.0   ,             24.4   ,               20.5   ,              16   ,        0.7620   ,               44.0   ,                  9453   ,
